Period,Data_value,Suppressed,STATUS,UNITS,Magnitude
2011.06,80078.0,,F,Number,0
2011.09,78324.0,,F,Number,0
2011.12,85850.0,,F,Number,0
2012.03,90743.0,,F,Number,0
2012.06,81780.0,,F,Number,0
2012.09,79261.0,,F,Number,0
2012.12,87793.0,,F,Number,0
2013.03,91571.0,,F,Number,0
2013.06,81687.0,,F,Number,0
2013.09,81471.0,,F,Number,0
2013.12,93950.0,,F,Number,0
2014.03,97208.0,,F,Number,0
2014.06,85879.0,,F,Number,0
2014.09,84447.0,,F,Number,0
2014.12,95075.0,,F,Number,0
2015.03,98202.0,,F,Number,0
2015.06,87987.0,,F,Number,0
2015.09,84529.0,,F,Number,0
2015.12,96848.0,,F,Number,0
2016.03,99291.0,,F,Number,0
2016.06,88716.0,,F,Number,0
2016.09,85933.0,,F,Number,0
2016.12,96540.0,,F,Number,0
2017.03,98994.0,,F,Number,0
2017.06,90510.0,,F,Number,0
2017.09,87089.0,,F,Number,0
2017.12,98933.0,,F,Number,0
2018.03,101168.0,,F,Number,0
2018.06,90766.0,,F,Number,0
2018.09,86929.0,,F,Number,0
2018.12,100290.0,,F,Number,0
2019.03,102031.0,,F,Number,0
2019.06,90836.0,,F,Number,0
2019.09,88032.0,,F,Number,0
2019.12,100531.0,,F,Number,0
2020.03,100947.0,,F,Number,0
2020.06,93239.0,,F,Number,0
2020.09,93706.0,,F,Number,0
2020.12,103593.0,,F,Number,0
2021.03,102002.0,,F,Number,0
2021.06,93431.0,,F,Number,0
2021.09,92353.0,,F,Number,0
2021.12,102896.0,,F,Number,0
2022.03,101092.0,,F,Number,0
2022.06,94757.0,,F,Number,0
2022.09,91674.0,,F,Number,0
2022.12,99680.0,,F,Number,0
2023.03,98706.0,,F,Number,0
2023.06,92576.0,,F,Number,0
2023.09,90647.0,,F,Number,0
2023.12,100561.0,,F,Number,0
2024.03,100429.0,,F,Number,0
2024.06,92037.0,,F,Number,0
2024.09,90079.0,,F,Number,0
2024.12,100318.0,,F,Number,0
2025.03,99703.0,,F,Number,0
2025.06,92128.0,,F,Number,0
2025.09,90814.0,,F,Number,0
2025.12,101836.0,,F,Number,0
2011.06,83851.0,,R,Number,0
2011.09,84142.0,,R,Number,0
2011.12,82663.0,,R,Number,0
2012.03,84321.0,,R,Number,0
2012.06,85700.0,,R,Number,0
2012.09,85208.0,,R,Number,0
2012.12,84420.0,,R,Number,0
2013.03,85085.0,,R,Number,0
2013.06,85658.0,,R,Number,0
2013.09,87742.0,,R,Number,0
2013.12,90098.0,,R,Number,0
2014.03,90413.0,,R,Number,0
2014.06,90029.0,,R,Number,0
2014.09,91076.0,,R,Number,0
2014.12,91007.0,,R,Number,0
2015.03,91515.0,,R,Number,0
2015.06,92019.0,,R,Number,0
2015.09,91355.0,,R,Number,0
2015.12,92546.0,,R,Number,0
2016.03,92748.0,,R,Number,0
2016.06,92576.0,,R,Number,0
2016.09,92920.0,,R,Number,0
2016.12,92189.0,,R,Number,0
2017.03,92657.0,,R,Number,0
2017.06,94320.0,,R,Number,0
2017.09,94201.0,,R,Number,0
2017.12,94258.0,,R,Number,0
2018.03,94944.0,,R,Number,0
2018.06,94735.0,,R,Number,0
2018.09,93700.0,,R,Number,0
2018.12,95345.0,,R,Number,0
2019.03,96206.0,,R,Number,0
2019.06,94949.0,,R,Number,0
2019.09,94335.0,,R,Number,0
2019.12,95432.0,,R,Number,0
2020.03,95827.0,,R,Number,0
2020.06,97448.0,,R,Number,0
2020.09,99655.0,,R,Number,0
2020.12,98471.0,,R,Number,0
2021.03,97449.0,,R,Number,0
2021.06,97336.0,,R,Number,0
2021.09,97772.0,,R,Number,0
2021.12,98025.0,,R,Number,0
2022.03,96945.0,,R,Number,0
2022.06,98374.0,,R,Number,0
2022.09,96910.0,,R,Number,0
2022.12,95132.0,,R,Number,0
2023.03,94729.0,,R,Number,0
2023.06,95944.0,,R,Number,0
2023.09,95928.0,,R,Number,0
2023.12,95948.0,,R,Number,0
2024.03,96303.0,,R,Number,0
2024.06,95472.0,,R,Number,0
2024.09,95418.0,,R,Number,0
2024.12,95583.0,,R,Number,0
2025.03,95564.0,,R,Number,0
2025.06,95688.0,,R,Number,0
2025.09,96266.0,,R,Number,0
2025.12,96890.0,,F,Number,0
2011.06,83962.0,,R,Number,0
2011.09,83978.0,,R,Number,0
2011.12,83924.0,,R,Number,0
2012.03,84528.0,,R,Number,0
2012.06,85382.0,,R,Number,0
2012.09,85195.0,,R,Number,0
2012.12,84662.0,,R,Number,0
2013.03,84853.0,,R,Number,0
2013.06,85867.0,,R,Number,0
2013.09,87821.0,,R,Number,0
2013.12,89828.0,,R,Number,0
2014.03,90363.0,,R,Number,0
2014.06,90388.0,,R,Number,0
2014.09,90773.0,,R,Number,0
2014.12,91172.0,,R,Number,0
2015.03,91558.0,,R,Number,0
2015.06,91713.0,,R,Number,0
2015.09,91788.0,,R,Number,0
2015.12,92293.0,,R,Number,0
2016.03,92727.0,,R,Number,0
2016.06,92758.0,,R,Number,0
2016.09,92636.0,,R,Number,0
2016.12,92356.0,,R,Number,0
2017.03,92875.0,,R,Number,0
2017.06,93957.0,,R,Number,0
2017.09,94311.0,,R,Number,0
2017.12,94403.0,,R,Number,0
2018.03,94794.0,,R,Number,0
2018.06,94615.0,,R,Number,0
2018.09,94463.0,,R,Number,0
2018.12,95320.0,,R,Number,0
2019.03,95872.0,,R,Number,0
2019.06,95073.0,,R,Number,0
2019.09,94591.0,,R,Number,0
2019.12,95113.0,,R,Number,0
2020.03,96021.0,,R,Number,0
2020.06,97671.0,,R,Number,0
2020.09,99060.0,,R,Number,0
2020.12,98655.0,,R,Number,0
2021.03,97536.0,,R,Number,0
2021.06,97363.0,,R,Number,0
2021.09,97707.0,,R,Number,0
2021.12,98041.0,,R,Number,0
2022.03,98353.0,,R,Number,0
2022.06,98171.0,,R,Number,0
2022.09,96880.0,,R,Number,0
2022.12,95238.0,,R,Number,0
2023.03,94956.0,,R,Number,0
2023.06,95642.0,,R,Number,0
2023.09,95999.0,,R,Number,0
2023.12,96082.0,,R,Number,0
2024.03,96048.0,,R,Number,0
2024.06,95657.0,,R,Number,0
2024.09,95406.0,,R,Number,0
2024.12,95529.0,,R,Number,0
2025.03,95565.0,,R,Number,0
2025.06,95741.0,,R,Number,0
2025.09,96293.0,,R,Number,0
2025.12,96757.0,,F,Number,0
2011.06,5234.0,,F,Number,0
2011.09,5268.0,,F,Number,0
2011.12,5499.0,,F,Number,0
2012.03,5811.0,,F,Number,0
2012.06,5847.0,,F,Number,0
2012.09,5922.0,,F,Number,0
2012.12,5722.0,,F,Number,0
2013.03,5487.0,,F,Number,0
2013.06,5506.0,,F,Number,0
2013.09,5540.0,,F,Number,0
2013.12,5492.0,,F,Number,0
2014.03,6004.0,,F,Number,0
2014.06,5886.0,,F,Number,0
2014.09,5815.0,,F,Number,0
2014.12,5592.0,,F,Number,0
2015.03,5300.0,,F,Number,0
2015.06,5422.0,,F,Number,0
2015.09,5199.0,,F,Number,0
2015.12,5060.0,,F,Number,0
2016.03,5194.0,,F,Number,0
2016.06,5080.0,,F,Number,0
